Annexure II-  Nifty Next 50 Index : March 2025,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Index Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ABB,ABB India Ltd.,POWER EQUIPMENT,423816750,29003.62,1.32,1.46,0.27,1.72,12.38,0.02
2,ADANIENSOL,Adani Energy Solutions Ltd.,POWER - TRANSMISSION,12012826420,31476.57,1.43,1.69,0.18,2.93,33.97,0.04
3,ADANIGREEN,Adani Green Energy Ltd.,POWER,15840324780,28998.66,1.32,1.79,0.2,3.26,22.5,0.03
4,ADANIPOWER,Adani Power Ltd.,POWER,38569389410,39979.6,1.82,1.51,0.17,1.79,6.34,0.04
5,AMBUJACEM,Ambuja Cements Ltd.,CEMENT,4926246956,35764.15,1.63,1.66,0.45,1.33,15.79,0.03
6,DMART,Avenue Supermarts Ltd.,DIVERSIFIED RETAIL,6507330680,59897.34,2.72,0.32,0.02,1.2,19.95,0.03
7,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,HOLDING COMPANIES,1112935100,53853.76,2.45,0.52,0.05,1.71,7.76,0.04
8,BAJAJHFL,Bajaj Housing Finance Ltd.,HOUSING FINANCE,83281467010,11437.68,0.52,1.17,0.12,2.45,13.39,0.04
9,BANKBARODA,Bank of Baroda,PUBLIC SECTOR BANK,10342724358,42206.62,1.92,1.67,0.45,1.83,15.96,0.02
10,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES/MARKETING,43385054880,53826.91,2.45,1.37,0.36,1.74,17.35,0.02
11,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,294936400,24525.16,1.11,0.82,0.21,1.69,6.84,0.03
12,BRITANNIA,Britannia Industries Ltd.,CONSUMER FOOD,240868296,58068.69,2.64,0.3,0.04,1.26,7.43,0.02
13,CGPOWER,CG Power and Industrial Solutions Ltd.,POWER EQUIPMENT,3057738888,40783.76,1.85,1.1,0.15,2.3,11.51,0.03
14,CANBK,Canara Bank,PUBLIC SECTOR BANK,18141302520,29922.37,1.36,1.75,0.48,1.93,10.01,0.03
15,CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,NBFC,1681833530,63811.97,2.9,1.16,0.23,1.53,8.51,0.02
16,DLF,DLF Ltd.,RESIDENTIAL/COMMERCIAL/SEZ Project,4950630072,43539.04,1.98,1.69,0.5,1.93,7.07,0.03
17,DABUR,Dabur India Ltd.,PERSONAL CARE,1772318252,29788.5,1.35,0.29,0.03,0.87,2.68,0.02
18,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,530937160,73126,3.32,0.55,0.08,1.05,5.39,0.03
19,GAIL,GAIL (India) Ltd.,GAS TRANSMISSION/MARKETING,65750996440,49240.37,2.24,1.81,0.41,2.23,17.3,0.03
20,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,1023007964,55368.44,2.52,0.43,0.05,1.49,15.33,0.03
21,HAVELLS,Havells India Ltd.,CONSUMER ELECTRONICS,626941732,38468.16,1.75,0.79,0.18,1.64,7.53,0.03
22,HAL,Hindustan Aeronautics Ltd.,AEROSPACE,3343875000,79162.15,3.6,1.84,0.37,2.22,35.27,0.02
23,HYUNDAI,Hyundai Motor India Ltd.,PASSENGER/UTILITY VEHICLES,8125411000,20659.3,0.94,0.69,0.08,2.03,-1.29,0.03
24,ICICIGI,ICICI Lombard General Insurance Company Ltd.,GENERAL INSURANCE,4956823010,42777.87,1.94,0.77,0.2,1.53,6.03,0.04
25,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,LIFE INSURANCE,14453002760,22012.9,1,0.62,0.12,1.63,2.31,0.04
26,INDHOTEL,Indian Hotels Co. Ltd.,HOTELS & RESORTS,1423432227,68972.8,3.14,1.2,0.25,2.08,9.98,0.02
27,IOC,Indian Oil Corporation Ltd.,REFINERIES/MARKETING,1.41212E+11,47584.83,2.16,1.5,0.44,1.83,12.52,0.03
28,IRFC,Indian Railway Finance Corporation Ltd.,FINANCIAL INSTITUTION,1.30685E+11,22169.63,1.01,1.47,0.23,2.21,10.67,0.03
29,NAUKRI,Info Edge (India) Ltd.,E-RETAIL/ E-COMMERCE,1295841200,55585.95,2.53,1.25,0.27,1.94,2.7,0.03
30,INDIGO,InterGlobe Aviation Ltd.,AIRLINES,3864233690,100086.38,4.55,0.93,0.19,1.51,14.25,0.02
31,JSWENERGY,JSW Energy Ltd.,POWER,17477684510,28669.01,1.3,1.6,0.24,2.4,15.9,0.04
32,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL,1020088097,34568.49,1.57,1.04,0.24,1.37,6.56,0.03
33,LTIM,LTIMindtree Ltd.,COMPUTERS - SOFTWARE,296285542,41367.23,1.88,0.8,0.15,2.09,-3.74,0.03
34,LICI,Life Insurance Corporation of India,LIFE INSURANCE,63249977010,17696.21,0.8,1.28,0.31,1.42,7.95,0.03
35,LODHA,Macrotech Developers Ltd.,RESIDENTIAL/COMMERCIAL/SEZ Project,9974402830,33322.15,1.51,1.32,0.17,3.04,5.74,0.03
36,PIDILITIND,Pidilite Industries Ltd.,CHEMICALS - SPECIALITY,508647555,43739.27,1.99,0.37,0.06,0.83,7.2,0.02
37,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,33001017600,60150.27,2.73,2.36,0.46,2.1,13.71,0.03
38,PNB,Punjab National Bank,PUBLIC SECTOR BANK,22985886536,33053.9,1.5,1.6,0.39,1.76,10,0.03
39,RECLTD,REC Ltd.,FINANCIAL INSTITUTION,26332240000,53460.33,2.43,2.28,0.41,2.24,19.12,0.04
40,MOTHERSON,Samvardhana Motherson International Ltd.,AUTO ANCILLARIES,7036295067,38506.52,1.75,1.4,0.31,2.15,10.43,0.03
41,SHREECEM,Shree Cement Ltd.,CEMENT,360807480,40681,1.85,0.71,0.2,1.09,11.8,0.03
42,SIEMENS,Siemens Ltd.,POWER EQUIPMENT,712241010,46519.57,2.11,0,0,0,14.1,0.02
43,SWIGGY,Swiggy Ltd.,E-RETAIL/ E-COMMERCE,2282649799,8849.48,0.4,1.3,0.07,2.59,-1.33,0.04
44,TVSMOTOR,TVS Motor Company Ltd.,MOTOR CYCLES/SCOOTERS,475087114,56679.87,2.58,1.07,0.28,1.7,8.73,0.03
45,TATAPOWER,Tata Power Co. Ltd.,POWER,3195339547,62862.47,2.86,1.56,0.47,1.43,10.67,0.03
46,TORNTPHARM,Torrent Pharmaceuticals Ltd.,PHARMACEUTICALS,1692227200,33667.87,1.53,0.48,0.08,1.13,9.49,0.02
47,UNITDSPR,United Spirits Ltd.,BREW/DISTILLERIES,1454701706,41268.49,1.88,0.62,0.1043,1.41,9.1,0.03
48,VBL,Varun Beverages Ltd.,BEVERAGES,6763520784,72196.06,3.28,0.82,0.1,2.3,23.76,0.04
49,VEDL,Vedanta Ltd.,ALUMINIUM,3910388057,78419.13,3.56,1.36,0.28,1.96,17.39,0.02
50,ZYDUSLIFE,Zydus Lifesciences Ltd.,PHARMACEUTICALS,1006233990,22079.45,1,0.82,0.18,1.1,1.12,0.03
,,,,,2199855.95,,,,,,0.03
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Apr-2024 to 28-Mar-2025,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 03-Mar-2025 to 28-Mar-2025,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 28-Mar-2025,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for Nifty Next 50 is the weightage average impact cost,,,,,,,,,,,
